Id,O_score,C_score,E_score,A_score,N_score,Numerical Aptitude,Spatial Aptitude,Perceptual Aptitude,Abstract Reasoning,Verbal Reasoning,Career
1,0.41002949852507387,0.8675721561969443,0.08682170542635653,0.34533551554828146,0.2562141491395794,0.9664634146341464,0.3222060957910014,0.5955766192733017,0.7709320695102685,0.45331069609507635,Accountant
2,0.90117994100295,0.3582342954159594,0.2589147286821705,0.5270049099836334,0.2562141491395794,0.3399390243902439,0.8867924528301887,0.7709320695102685,0.5260663507109006,0.43463497453310707,Graphic Designer
3,0.508849557522124,0.5466893039049239,1.0,0.7086743044189852,0.4053537284894838,0.5091463414634148,0.27431059506531213,0.5434439178515008,0.5781990521327015,0.8488964346349746,Salesperson
4,0.9513274336283186,0.8862478777589136,0.20775193798449615,0.3993453355155483,0.31931166347992346,0.7621951219512195,0.4354136429608127,0.5434439178515008,1.0,0.7164685908319186,Research Scientist
5,0.5575221238938054,0.6791171477079798,0.4310077519379845,0.9639934533551555,0.2562141491395794,0.3734756097560975,0.24238026124818574,0.5086887835703003,0.43759873617693534,0.8862478777589136,Teacher
6,0.8525073746312686,0.5857385398981325,0.37984496124031003,0.3633387888707038,0.31931166347992346,0.5426829268292683,0.9840348330914368,0.736176935229068,0.9289099526066352,0.13242784380305606,Architect
7,0.1976401179941003,0.7928692699490665,0.586046511627907,1.0,0.42638623326959857,0.25457317073170727,0.3062409288824383,0.7014218009478673,0.43759873617693534,0.7351443123938881,Nurse
8,0.90117994100295,0.7351443123938881,0.4310077519379845,0.4549918166939443,0.3403441682600382,0.8475609756097562,0.27431059506531213,0.36808846761453395,0.9826224328593999,0.5093378607809849,Software Developer
9,0.90117994100295,0.6604414261460103,0.37984496124031003,0.8543371522094925,0.5965583173996176,0.25457317073170727,0.24238026124818574,0.19273301737756732,0.5781990521327015,0.9813242784380307,Psychologist
10,0.6061946902654869,0.49066213921901536,0.8620155038759689,0.7266775777414076,0.31931166347992346,0.08536585365853655,0.11320754716981135,1.0,0.10426540284360197,0.13242784380305606,Chef
